id
FN1
PLA2G2A
HDGFL3
RAB34
CPVL
IGDCC4
PEG10
PNMA8A
GSDME
APOA2
TM4SF18
F5
SRPX
MLLT11
GCNT2
ZNF334
COL18A1
TUB
LNCAROD
TRIM71
IRX3
ANKRD1
SGCE
AMY1A
NAALAD2
PLK2
GPR87
IGFBP7
IGFL2
ITGB2-AS1
GAMT
SLC1A3
OBSL1
ZBED2
DKK1
NFKBIZ
RAI14
ASB4
PRKAA2
SATB1
FZD2
BEX2
COL27A1
MEGF6
PRSS1
DKK3
MYO5A
SLC44A5
CCDC88A
CYP2E1
ABCC2
HECW2-AS1
GJA3
DTX3
EMP3
TTC30A
UST
F2R
EPHB6
LOXL1-AS1
OLFML3
MED6
KRT15
PCYT1B
GIHCG
RPAIN
HERC5
KRTAP2-3
NANOS1
GNAI1
SMARCA1
C20orf194
VGLL1
CCN1
CYP1B1
UBASH3B
PROS1
SYTL1
CAP2
TNFRSF19
NME5
FUS
PABPC1
RBMS1
CHST15
MBNL3
VTCN1
NRG1
L1CAM
TRPC1
TRIM6
FRAS1
CAVIN2
FBXO2
NPIPB15
TLCD4
FOXA1
PPP1R9A
EIF1
TMPRSS11E
