id
ZMAT3
ZBTB46
WT1
WNT5B
WDHD1
VASH2
TRDC
TNFSF9
TNFRSF19
TNFRSF10C
TM7SF3
TDO2
SPEF2
SLC2A3
SLC2A1
SLC14A1
SLAMF6
SKAP1
SIX1
SERPINI1
SEMA3A
SACS
RORA
RDX
RAB30
PURPL
PTPRM
PTPRD
PSTPIP2
PRR9
PRAC1
PPP2R2C
PLK2
PHLDB2
PCP4
PAM
OLFML3
NXPH3
NUTM2B-AS1
NRXN3
NRP1
NR2F1
NFE2
MUCL1
MTHFSD
MLLT11
MAP1B
LRRC77P
LRRC34
KRBOX1
IRS1
IL26
IL17RD
IGF2BP1
IGF2
IER5
ICAM4
HUNK
HSPA12A
HSD3B1
HOXB13
HLA-DRB1
HEY1
HAS2
H19
GZMA
GLDC
GJA1
GATA3
GAD1
FYN
FN1
FHOD3
FGF20
FGF19
FAM169A
FAM13C
ERC1
EPHB6
DOCK4
DLX2
DLX1
DISC1
CST1
CSGALNACT1
CPA6
COL5A1
CHST11
CEP85L
CD84
CD70
CADM1
BPI
BAMBI
ATXN3
ARL4C
ARID3A
ALDH7A1
ADGRE2
ADCY1
