id
FZD10
MAEL
SLFN13
NXF2
TEX15
ZNF415
HUNK
POU6F2-AS2
GABRR1
ADH1C
UCHL1
PROM2
GZMB
ACSL6
PCDHB16
ZNF793
ZSCAN18
CT83
SPIRE2
RGN
C12orf56
FAM155A
RNF182
TSPYL5
PCDHB4
PCDH8
RASA3
MAGEE1
DPEP1
METTL7A
ZNF492
CYP2B6
ZNF506
PCDHA9
PAH
ZNF793-AS1
ZNF331
TMEM63C
GLDC
ELF5
FAM3B
ZNF439
ZNF43
ZNF813
UGT1A7
HSD3B1
SPINK1
CARD16
ZNF304
LINC00540
SCG3
COX10
DNAH10
LINC01694
ESRRG
FOLR1
SNAP25
PAX7
FUT10
CES1
PCDH20
ZNF625
RIMS2
SLFN12
C10orf82
DEF6
ZNF880
AXDND1
CHGB
PHYHIPL
PCDHB10
ZNF354C
SLC35G2
NRN1
SMTNL2
FOXG1
ZNF85
CDHR1
ARHGAP4
CADM1
SLC38A4
GBGT1
ERP27
VAV3
TTC9
BISPR
ZNF347
XG
AKAIN1
LINC02562
ISX
LRRC2
PLAG1
NRXN3
ZNF606
FAM13C
RNF217
ZNF594
SGK2
INPP5D
