factor,drug_activity,expression,morphology_view,mutation,size_view
Factor1,16.34024882065003,14.651486435926964,1.2949122464191776,13.9926859238381,39.28742868586424
Factor2,12.26938937463673,13.052530155767661,15.517353124705203,8.569221620325674,0.06883714869542201
Factor3,12.817092764524396,10.377981622513143,7.372122397449566,3.408771359130891,3.153277365885998e-5
