# ROC Data for D004T01 classifier applied to D021T01 data for channels Actin_DAPI
# AUC: 0.929556062086
Threshold,FalsePosRate,TruePosRate
2.0,0.0,0.0
1.0,0.002008032128514056,0.15592515592515593
0.9,0.008032128514056224,0.3097713097713098
0.8,0.018072289156626505,0.4074844074844075
0.7,0.03413654618473896,0.5343035343035343
0.6,0.0642570281124498,0.6777546777546778
0.5,0.11044176706827309,0.7900207900207901
0.4,0.15060240963855423,0.8773388773388774
0.3,0.23694779116465864,0.9251559251559252
0.2,0.3473895582329317,0.972972972972973
0.1,0.5461847389558233,0.9958419958419958
0.0,1.0,1.0
