# ROC Data for D054T01 classifier applied to D020T01 data for channels Actin
# AUC: 0.934565102915
Threshold,FalsePosRate,TruePosRate
1.0,0.0,0.4251207729468599
0.9,0.004739336492890996,0.6231884057971014
0.8,0.026066350710900472,0.7053140096618358
0.7,0.05924170616113744,0.751207729468599
0.6,0.0924170616113744,0.7922705314009661
0.5,0.13507109004739337,0.8405797101449275
0.4,0.2132701421800948,0.8961352657004831
0.3,0.3222748815165877,0.9371980676328503
0.2,0.4549763033175355,0.9589371980676329
0.1,0.6184834123222749,0.9927536231884058
0.0,1.0,1.0
