# ROC Data for D055T01 classifier applied to D055T01 data for channels FITC
# AUC: 0.976416083916
Threshold,FalsePosRate,TruePosRate
2.0,0.0,0.0
1.0,0.00909090909090909,0.517948717948718
0.9,0.01818181818181818,0.6948717948717948
0.8,0.02727272727272727,0.8025641025641026
0.7,0.056818181818181816,0.882051282051282
0.6,0.075,0.9256410256410257
0.5,0.09545454545454546,0.9641025641025641
0.4,0.13863636363636364,0.9769230769230769
0.3,0.19090909090909092,0.9871794871794872
0.2,0.2545454545454545,0.9923076923076923
0.1,0.4068181818181818,1.0
0.0,1.0,1.0
