# ROC Data for D010T01 classifier applied to D021T01 data for channels Actin_DAPI
# AUC: 0.829801534621
Threshold,FalsePosRate,TruePosRate
2.0,0.0,0.0
1.0,0.006024096385542169,0.014553014553014554
0.9,0.01606425702811245,0.09563409563409564
0.8,0.050200803212851405,0.29521829521829523
0.7,0.11847389558232932,0.5550935550935551
0.6,0.22690763052208834,0.7484407484407485
0.5,0.39759036144578314,0.8981288981288982
0.4,0.572289156626506,0.9584199584199584
0.3,0.7891566265060241,0.9833679833679834
0.2,0.9156626506024096,0.997920997920998
0.1,0.9839357429718876,1.0
0.0,1.0,1.0
