,Importance
x.Bc.h.ent.s2,0.001121291254682499
x.Bc.h.dva.s2,0.001609835514518871
x.Bc.h.den.s2,0.0026976719316467923
x.Bc.h.f12.s2,0.0037991233367941357
x.Bc.h.f13.s2,0.0010355455224496453
x.Bc.h.asm.s4,0.008887090585737991
x.Bc.h.con.s4,0.0061418022431796076
x.Bc.h.cor.s4,0.0014107665947530898
x.Bc.h.var.s4,0.00595909025740006
x.Bc.h.idm.s4,0.00023876864297379849
x.Bc.h.sav.s4,0.0011692868066769256
x.Bc.h.sva.s4,0.0011930724024595742
x.Bc.h.sen.s4,0.0006569900006173368
x.Bc.h.ent.s4,0.0004981913291501043
x.Bc.h.dva.s4,0.0013896223944469097
x.Bc.h.den.s4,0.002671899186517364
x.Bc.h.f12.s4,0.0022131497658717824
x.Bc.h.f13.s4,0.0003280558164497518
x.Bc.h.asm.s8,0.05652962875121801
x.Bc.h.con.s8,0.0005391113767682801
x.Bc.h.cor.s8,0.0005905813966903797
x.Bc.h.var.s8,0.0010916667806556927
x.Bc.h.idm.s8,0.0003091111428986423
x.Bc.h.sav.s8,0.0001328043708662395
x.Bc.h.sva.s8,0.0013641395454121762
x.Bc.h.sen.s8,0.0002539493480277222
x.Bc.h.ent.s8,0.004051180901075525
x.Bc.h.dva.s8,0.0
x.Bc.h.den.s8,0.0011280608251103682
x.Bc.h.f12.s8,0.00018178100778795935
x.Bc.h.f13.s8,0.0002046436104322207
x.Bc.h.asm.s16,9.693468569089041e-05
x.Bc.h.con.s16,0.0009473311128580502
x.Bc.h.cor.s16,0.0
x.Bc.h.var.s16,0.001017837064148678
x.Bc.h.idm.s16,0.0014144928771266882
x.Bc.h.sav.s16,0.00026076268050253035
x.Bc.h.sva.s16,0.0026423733805212507
x.Bc.h.sen.s16,0.0035433164133030102
x.Bc.h.ent.s16,0.0012595616193525176
x.Bc.h.dva.s16,0.00042891682488593907
x.Bc.h.den.s16,0.011546623617000231
x.Bc.h.f12.s16,0.00012617531401913545
x.Bc.h.f13.s16,7.755007301044048e-05
x.Bc.h.asm.s32,0.0
x.Bc.h.con.s32,0.00026334175204170853
x.Bc.h.cor.s32,0.0
x.Bc.h.var.s32,0.0
x.Bc.h.idm.s32,0.0
x.Bc.h.sav.s32,0.00020483029012272131
x.Bc.h.sva.s32,0.00032725325877620213
x.Bc.h.sen.s32,0.0
x.Bc.h.ent.s32,0.00018191896607527502
x.Bc.h.dva.s32,0.0
x.Bc.h.den.s32,0.0
x.Bc.h.f12.s32,0.0
x.Bc.h.f13.s32,0.0
x.Bc.h.asm.s64,0.0
x.Bc.h.con.s64,0.0
x.Bc.h.cor.s64,0.0
x.Bc.h.var.s64,0.0
x.Bc.h.idm.s64,0.0
x.Bc.h.sav.s64,0.0
x.Bc.h.sva.s64,0.0
x.Bc.h.sen.s64,0.0
x.Bc.h.ent.s64,0.0
x.Bc.h.dva.s64,0.0
x.Bc.h.den.s64,0.0
x.Bc.h.f12.s64,0.0
x.Bc.h.f13.s64,0.0
x.Bc.h.asm.s128,0.0
x.Bc.h.con.s128,0.0
x.Bc.h.cor.s128,0.0
x.Bc.h.var.s128,0.0
x.Bc.h.idm.s128,0.0
x.Bc.h.sav.s128,0.0
x.Bc.h.sva.s128,0.0
x.Bc.h.sen.s128,0.0
x.Bc.h.ent.s128,0.0
x.Bc.h.dva.s128,0.0
x.Bc.h.den.s128,0.0
x.Bc.h.f12.s128,0.0
x.Bc.h.f13.s128,0.0
x.Bc.h.asm.s256,0.0
x.Bc.h.con.s256,0.0
x.Bc.h.cor.s256,0.0
x.Bc.h.var.s256,0.0
x.Bc.h.idm.s256,0.0
x.Bc.h.sav.s256,0.0
x.Bc.h.sva.s256,0.0
x.Bc.h.sen.s256,0.0
x.Bc.h.ent.s256,0.0
x.Bc.h.dva.s256,0.0
x.Bc.h.den.s256,0.0
x.Bc.h.f12.s256,0.0
x.Bc.h.f13.s256,0.0
