# ROC Data for D018T01 classifier applied to D004T01 data for channels DAPI
# AUC: 0.954559693847
Threshold,FalsePosRate,TruePosRate
2.0,0.0,0.0
1.0,0.0182370820668693,0.35376044568245124
0.9,0.0547112462006079,0.5738161559888579
0.8,0.06990881458966565,0.7632311977715878
0.7,0.07598784194528875,0.8662952646239555
0.6,0.10638297872340426,0.9442896935933147
0.5,0.1398176291793313,0.9777158774373259
0.4,0.1641337386018237,0.9888579387186629
0.3,0.18541033434650456,1.0
0.2,0.23708206686930092,1.0
0.1,0.3799392097264438,1.0
0.0,1.0,1.0
