# ROC Data for D027T01 classifier applied to D010T01 data for channels FITC
# AUC: 0.627745887429
Threshold,FalsePosRate,TruePosRate
2.0,0.0,0.0
1.0,0.023346303501945526,0.005940594059405941
0.9,0.04669260700389105,0.033663366336633666
0.8,0.11089494163424124,0.12277227722772277
0.7,0.17120622568093385,0.25346534653465347
0.6,0.27431906614785995,0.4277227722772277
0.5,0.3657587548638132,0.5524752475247525
0.4,0.47470817120622566,0.6831683168316832
0.3,0.6128404669260701,0.8118811881188119
0.2,0.7509727626459144,0.9128712871287129
0.1,0.8735408560311284,0.9801980198019802
0.0,1.0,1.0
