# ROC Data for D004T01 classifier applied to D010T01 data for channels DAPI
# AUC: 0.571323597482
Threshold,FalsePosRate,TruePosRate
1.0,0.0,0.003787878787878788
0.9,0.016293279022403257,0.017045454545454544
0.8,0.04276985743380855,0.043560606060606064
0.7,0.06924643584521385,0.07765151515151515
0.6,0.10183299389002037,0.10984848484848485
0.5,0.1384928716904277,0.1571969696969697
0.4,0.1629327902240326,0.2159090909090909
0.3,0.21792260692464357,0.29924242424242425
0.2,0.2830957230142566,0.4337121212121212
0.1,0.43584521384928715,0.5662878787878788
0.0,1.0,1.0
