# ROC Data for D018T01 classifier applied to D013T01 data
# AUC: 0.8765472228
Threshold,FalsePosRate,TruePosRate
0.9,0.0,0.011961722488038277
0.8,0.002288329519450801,0.09330143540669857
0.7,0.011441647597254004,0.29066985645933013
0.6,0.016018306636155607,0.4557416267942584
0.5,0.04805491990846682,0.5717703349282297
0.4,0.10297482837528604,0.6794258373205742
0.3,0.17048054919908467,0.7703349282296651
0.2,0.2345537757437071,0.8444976076555024
0.1,0.34668192219679633,0.9078947368421053
0.0,1.0,1.0
