# ROC Data for D018T01 classifier applied to D020T01 data
# AUC: 0.927057374467
Threshold,FalsePosRate,TruePosRate
1.0,0.0,0.009876543209876543
0.9,0.0,0.02962962962962963
0.8,0.0,0.1111111111111111
0.7,0.016241299303944315,0.24691358024691357
0.6,0.030162412993039442,0.4444444444444444
0.5,0.06728538283062645,0.6567901234567901
0.4,0.10208816705336426,0.8123456790123457
0.3,0.18561484918793503,0.9012345679012346
0.2,0.2737819025522042,0.9506172839506173
0.1,0.33874709976798145,0.9876543209876543
0.0,1.0,1.0
