# ROC Data for D018T01 classifier applied to D046T01 data
# AUC: 0.931862085431
Threshold,FalsePosRate,TruePosRate
2.0,0.0,0.0
1.0,0.002257336343115124,0.10817307692307693
0.9,0.002257336343115124,0.27403846153846156
0.8,0.013544018058690745,0.4014423076923077
0.7,0.03611738148984198,0.5408653846153846
0.6,0.0654627539503386,0.6466346153846154
0.5,0.08126410835214447,0.7139423076923077
0.4,0.11286681715575621,0.7980769230769231
0.3,0.15349887133182843,0.8846153846153846
0.2,0.20090293453724606,0.9326923076923077
0.1,0.33182844243792325,0.9831730769230769
0.0,1.0,1.0
