# ROC Data for D054T01 classifier applied to D027T01 data for channels Actin
# AUC: 0.804737765646
Threshold,FalsePosRate,TruePosRate
2.0,0.0,0.0
1.0,0.002242152466367713,0.04456521739130435
0.9,0.007847533632286996,0.13804347826086957
0.8,0.030269058295964126,0.24891304347826088
0.7,0.053811659192825115,0.3760869565217391
0.6,0.13228699551569506,0.5478260869565217
0.5,0.23766816143497757,0.6967391304347826
0.4,0.29260089686098656,0.7565217391304347
0.3,0.3307174887892377,0.8119565217391305
0.2,0.38228699551569506,0.8641304347826086
0.1,0.507847533632287,0.8978260869565218
0.0,1.0,1.0
