# ROC Data for D007T01 classifier applied to D054T01 data for channels Actin_DAPI
# AUC: 0.780805484147
Threshold,FalsePosRate,TruePosRate
1.0,0.0,0.06666666666666667
0.9,0.002570694087403599,0.112
0.8,0.015424164524421594,0.15466666666666667
0.7,0.03598971722365039,0.22933333333333333
0.6,0.06940874035989718,0.30133333333333334
0.5,0.11825192802056556,0.392
0.4,0.18251928020565553,0.5253333333333333
0.3,0.2236503856041131,0.64
0.2,0.2750642673521851,0.744
0.1,0.4267352185089974,0.8746666666666667
0.0,1.0,1.0
