,Importance
x.b.b.mean,0.00228655698632873
x.b.b.sd,0.0032689105688020643
x.b.b.mad,0.002053426347936297
x.b.b.q001,0.03780792485896538
x.b.b.q005,0.020154163253701275
x.b.b.q05,0.006937318468931561
x.b.b.q095,0.0002813512095388012
x.b.b.q099,0.006345541387672973
x.b.m.cx,0.0016987744012908264
x.b.m.cy,0.0
x.b.m.majoraxis,0.0010275127148506654
x.b.m.eccentricity,0.001839834705971747
x.b.m.theta,0.0005818645168500934
x.b.h.asm.s1,0.0007252351854724043
x.b.h.con.s1,0.011645996922045567
x.b.h.cor.s1,0.03893369696356924
x.b.h.var.s1,0.00019003512044560338
x.b.h.idm.s1,0.003225577402160948
x.b.h.sav.s1,0.00028624252611330275
x.b.h.sva.s1,0.001426514544428282
x.b.h.sen.s1,0.0006226837681600156
x.b.h.ent.s1,0.0026174693079411095
x.b.h.dva.s1,0.0023989410325782846
x.b.h.den.s1,0.002798313732341861
x.b.h.f12.s1,0.010562735287093264
x.b.h.f13.s1,0.007574203090767462
x.b.h.asm.s2,0.0
x.b.h.con.s2,0.0046170818646601415
x.b.h.cor.s2,0.001579538365862021
x.b.h.var.s2,0.00475102636766198
x.b.h.idm.s2,0.0006616894172256817
x.b.h.sav.s2,0.0012356813697552032
x.b.h.sva.s2,0.0016089550318740778
x.b.h.sen.s2,0.0007132271182034443
x.b.h.ent.s2,0.0014223750803445492
x.b.h.dva.s2,0.0012345286210102772
x.b.h.den.s2,0.0022224753304773475
x.b.h.f12.s2,0.0
x.b.h.f13.s2,0.0022633160976122065
x.b.h.asm.s4,0.0002915556043825261
x.b.h.con.s4,0.0009827189010290075
x.b.h.cor.s4,0.0
x.b.h.var.s4,5.13740154178858e-05
x.b.h.idm.s4,0.0002814734365100914
x.b.h.sav.s4,0.0021340138197298345
x.b.h.sva.s4,0.00486511629186855
x.b.h.sen.s4,0.0028544775417616553
x.b.h.ent.s4,0.0006691593507887184
x.b.h.dva.s4,0.0
x.b.h.den.s4,0.05171617512472267
x.b.h.f12.s4,0.0016806674815317707
x.b.h.f13.s4,0.00031740405669302985
x.b.h.asm.s8,0.004350986665875434
x.b.h.con.s8,0.053767701931523845
x.b.h.cor.s8,0.009155318966818489
x.b.h.var.s8,0.03218591078793661
x.b.h.idm.s8,0.001514650169499597
x.b.h.sav.s8,0.0022017075847109964
x.b.h.sva.s8,0.00026955813268153995
x.b.h.sen.s8,0.0
x.b.h.ent.s8,0.0021174077022090296
x.b.h.dva.s8,0.0007196310336196509
x.b.h.den.s8,0.005389305688909976
x.b.h.f12.s8,0.003462645890206382
x.b.h.f13.s8,0.0024790023869277313
