Line;Cluster.ID;Label;PValue;OddsRatio;PAdj
D018T01;67;mtor;6,23366731937573e-05;Inf;0,000498693385550058
D018T01;27;egfr;0,000304417886438651;48,1204544419276;0,0013496917131823
D018T01;53;gsk-3;0,000309346956703297;89,5566532417856;0,0013496917131823
D018T01;76;akt;0,00120956470917084;48,4701553195653;0,00276471933524763
D018T01;59;bcr-abl;0,00115039496893934;49,3621590206037;0,00276471933524763
D018T01;49;pi3k;0,00176025347650062;41,3762717582513;0,00352050695300124
D018T01;64;jak;0,00586439053034819;16,285621119085;0,0110388527630084
D018T01;79;pdgfr;0,0144813855338165;12,1138692532392;0,0243897019516909
D018T01;79;flt;0,0254787860307135;8,22874511511142;0,0387189253207165
D018T01;69;egfr;0,0279581615797815;5,21235475272463;0,0388983117631743
D018T01;69;vegfr;0,0573681185348134;4,94020715814342;0,0706069151197704
D018T01;78;plk;0,0746467494069516;5,57849139137647;0,0833776868230767
D019T01;63;mtor;3,220129674622e-06;Inf;6,30280764876642e-05
D019T01;51;mek;5,4024065560855e-06;46,2300015896194;6,30280764876642e-05
D019T01;50;gsk-3;0,000155720928543646;126,224027323541;0,00077860464271823
D019T01;65;aurora kinase;0,000424389988209428;17,5554539830707;0,00185670619841625
D019T01;26;cdk;0,000606446702310457;38,388764335691;0,00235840384231844
D019T01;52;mtor;0,00131876695289904;29,7246264772452;0,00433912473655314
D019T01;70;c-met;0,00302679179840798;32,8255121167676;0,00756697949601995
D019T01;64;jak;0,00726663579484428;14,6094444274629;0,0158957658012219
D019T01;81;atm;0,0148535627071485;Inf;0,0273618260394841
D019T01;81;atr;0,0148535627071485;Inf;0,0273618260394841
D019T01;75;erk;0,0215260790657303;Inf;0,0358767984428838
D019T01;74;aurora kinase;0,0502577419018309;4,05615110846196;0,0736139440759359
D019T01;34;alk;0,0525813886256685;6,66411097797102;0,0736139440759359
D019T01;34;plk;0,0525813886256685;6,66411097797102;0,0736139440759359
D020T01;58;aurora kinase;1,14600643859784e-07;40,0360402098944;5,27162961755007e-06
D020T01;101;mtor;1,2914780468837e-06;16,2018749452685;1,980266338555e-05
D020T01;84;gsk-3;0,000415567930245034;Inf;0,00318602079854526
D020T01;89;egfr;0,00177303475319041;7,99972584988603;0,00759590231001638
D020T01;93;jak;0,00155967094746487;19,1498671736148;0,00759590231001638
D020T01;89;mek;0,00185215755527083;7,92867982472645;0,00759590231001638
D020T01;86;plk;0,00636087030765922;16,9246852032349;0,0160736594534422
D020T01;88;c-met;0,00685027908187365;22,8257393570693;0,0160736594534422
D020T01;88;fak;0,00698854758845311;22,6464136491801;0,0160736594534422
D020T01;70;flt;0,0133426632697046;9,78694147527061;0,0260539732204872
D020T01;70;bcr-abl;0,0135933773324281;9,71476505446143;0,0260539732204872
D020T01;78;cdk;0,0196971143219974;5,78579402292311;0,0342817513186347
D020T01;96;chk;0,0225614351628841;13,6087570121911;0,0370652149104524
