,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12,PC13,PC14,PC15,PC16,PC17,PC18,PC19,PC20,PC21,PC22,PC23,PC24,PC25
Linifanib (ABT-869),0.004450087267023745,0.003988288578233833,0.0026221856300299804,0.006517109337494996,0.007854964017908809,0.005700407850256875,0.003995850730755749,0.005374871402802027,0.0051261881524925735,0.0035651082545999514,0.014130985646955061,0.0065970277075081095,0.012784279755115119,0.011199447569085705,0.010283902244313043,0.01424682204213962,0.0039728220404773645,0.01693107509662858,0.011911445356169644,0.008624567754012987,0.017469634822374503,0.012010006141305693,0.018754092354848536,0.012773733775764318,0.012898029379399158
Y-27632 2HCl,0.003088408310516944,0.002574601494429437,0.001846926303412656,0.004256497159108447,0.004192789252419345,0.0025243163510122804,0.005011942444641192,0.0069638197780351315,0.005166725222821583,0.003921520355874929,0.014114238093237518,0.00221634488312114,0.006607831606743696,0.007188754764309535,0.005843448306917158,0.012041146212232786,0.010302477589378212,0.02160003251704046,0.011710669299440046,0.007605590557298297,0.00859093106535761,0.010708838338203065,0.010837614489199262,0.01030130408110848,0.008749427315134319
Cediranib (AZD2171),0.0035073104515152788,0.0030090276707132823,0.003678495953259301,0.005274271199487699,0.006340845479025163,0.005992109932536696,0.006092222941411963,0.004519482925067074,0.0061275967073894915,0.00937808992748161,0.014681417098658323,0.005205252787001973,0.011558967069763271,0.005392814483396449,0.006901373410017909,0.013979567975462601,0.006896762396781615,0.015024970778852825,0.007792538404636642,0.01302471626853926,0.008035896777253984,0.011208114189276355,0.016138206673271843,0.009677484080926032,0.007730123471941787
Avagacestat (BMS-708163),0.005362386229556879,0.0038908039347528875,0.0020679480443181767,0.006709149758289126,0.0026337816583142043,0.003090595321047995,0.0071853985088755155,0.0028524784444649153,0.002478535309874337,0.006761289810750681,0.02318003130130779,0.0027864733132280653,0.013529618109297323,0.009261451532935432,0.0069831611996331484,0.011014465116680323,0.009800766111607961,0.024257226529539665,0.010447141907821372,0.011059867863638896,0.011705660645545717,0.014633632966334893,0.013251661432898213,0.00936455746335716,0.013775157861233001
Motesanib Diphosphate (AMG-706),0.004492042995328558,0.0034981546279679037,0.004961357882412164,0.005583345408618186,0.011307898356358844,0.0055108755896821375,0.011102991945335084,0.00622917495569983,0.005972838535319161,0.005869923066639733,0.01998598064855992,0.006275031220837395,0.008042599825232465,0.012209563798792875,0.007856844333788153,0.013481335891854629,0.011633007285412026,0.025249233166917823,0.01428896867042356,0.010242387259268909,0.013455705264225295,0.01840313087010248,0.0143650305070901,0.016639025656871413,0.011656222100402878
TWS119,0.003990640233927026,0.0024026184342769807,0.001695448431044772,0.004914835964582643,0.003700711637850467,0.002692872422521068,0.003328620430173608,0.004700978002071783,0.00585696681547623,0.00605885591723284,0.01452715145608373,0.004001101668148721,0.004713567748147706,0.008038704204629736,0.004476120282133859,0.008213883743540689,0.008294645291009671,0.019706933967811202,0.007727227570699438,0.013994009023810074,0.008376833809999753,0.011951243577950894,0.01173498005371652,0.007174849728109838,0.012591230995775835
Sunitinib Malate,0.0022904479440334622,0.002409723781272223,0.002762671146835698,0.006331205742481919,0.004392864506974484,0.0065764498692147426,0.010060611042579081,0.005654502876052578,0.006348399999063719,0.009117909317828347,0.011043012539499112,0.005092869393806138,0.00880372693902946,0.006431639735466587,0.00928920655322037,0.011016068823344945,0.015630673973226906,0.02167177589035977,0.012923254789917437,0.012315407570557298,0.011900690007601966,0.014471072626696611,0.010180736680482739,0.009126571209429956,0.011291631897325717
AZ 960,0.002823011042672949,0.0026313758059535843,0.004289564407390788,0.00502268532503801,0.004385514498453053,0.006308718441537701,0.007738564479197223,0.007276348128967945,0.00548670200457951,0.005408311472803681,0.017165976756364363,0.004158546644376521,0.01062387298122501,0.008780285637086886,0.006246197093606941,0.012391736338501057,0.009944244252708094,0.023261522566368008,0.013407910659186248,0.01522563919295953,0.00783817118279302,0.013721713023434631,0.013353500665791055,0.007948365966662058,0.011497474063572426
SL-327,0.0041982894243589525,0.0036947646209903647,0.002770282274203397,0.006551480059602528,0.005401636775708534,0.003137706866743856,0.0040501327213551385,0.005905540830091604,0.006288048363604199,0.005684656637913775,0.018355971335615937,0.004423361399246884,0.009061022969811117,0.00932577710240575,0.0043290418881822956,0.012571015346056449,0.012273481944202073,0.017368505005921804,0.013503039604933745,0.014631042906845873,0.01954309986250004,0.01660731653425732,0.014215580146747734,0.014781912712658947,0.010978689232931348
MK-0752,0.003606041175872343,0.002864566010725747,0.0022287314919099623,0.004270179943695488,0.004233394832070013,0.0046632948013476,0.007421890660679347,0.005754820962172193,0.0037904952442679774,0.004504134023495581,0.009646706506914302,0.0051356860447819095,0.0064207239109419405,0.004500157365707482,0.009414919153779008,0.010127756521944541,0.010243319381323173,0.020288714595405374,0.009782641856641166,0.006922168322591953,0.013813742567857936,0.016272218657338917,0.012533490110659169,0.012071874375126085,0.015737133626150774
SU11274,0.0020357868540780664,0.004294404488414842,0.002839635283977143,0.0070747914956327505,0.006355207099702682,0.006695015859470241,0.007275847642479783,0.004753983566404052,0.007982164669728143,0.005550336591134772,0.009654917312246502,0.0032221672738854197,0.0070113795745236724,0.005988124731480103,0.008798281581927329,0.01734012329669657,0.011344755982938467,0.016381914580891346,0.010993639228774712,0.01133994302449672,0.011549537178988246,0.014240237107407367,0.010110628484754242,0.010835006498435606,0.01047033522915552
CHIR-98014,0.0024307352140251464,0.0014791328388217915,0.0014607700802546106,0.003483415521359225,0.002891331484961842,0.0025240306006952544,0.004155725361734822,0.004993768071055253,0.0046339824117283416,0.003061004190107064,0.005354958942461744,0.0037943668888189633,0.0038185859483292352,0.004737102972431377,0.0035971009211611085,0.008773095860328725,0.006651722158751636,0.011130435123093751,0.009127258872175649,0.005813452080647299,0.008805039757429408,0.007696416991470459,0.006566385061989421,0.005767549283118828,0.007237535128024589
Vatalanib (PTK787) 2HCl,0.004003309063002627,0.002159669064958517,0.005316188413951032,0.007480999456691622,0.007894290985785053,0.00334774273337301,0.006597787544185885,0.00418367222561328,0.007733017540163694,0.007226220266477012,0.018712395848803447,0.005257894340367953,0.01051103313209267,0.010861212141744937,0.010742299885560325,0.015604890007684901,0.009551654965692912,0.026131977003604298,0.005658579617935241,0.012175883007282404,0.010968637130144364,0.00980141616980496,0.012044095650749145,0.014324007833485312,0.016125237993809563
WHI-P154,0.0036830696024625484,0.0034299511693328165,0.0027765488769684946,0.0037680936859833475,0.0060819663120380745,0.007367867577574107,0.004443289812311921,0.003620676202573733,0.005232302627048741,0.0040605635441961435,0.012934626780121592,0.003996822475530952,0.007822331656088704,0.006888047541774937,0.006311289146904669,0.009319606391837109,0.007230744048024529,0.019539846918778674,0.014515301446713145,0.009568010099739387,0.013890142783542904,0.010078366424425484,0.01433311771893819,0.010499688827900283,0.005994358373945832
