,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12,PC13,PC14,PC15,PC16,PC17,PC18,PC19,PC20,PC21,PC22,PC23,PC24,PC25
Taselisib__1.0,0.055208205081495786,-0.07952345631904907,0.13831947375158354,-0.1658323835299819,0.15915589979695416,0.13793576213405376,0.22324011278843572,-0.10909928021712634,0.04645877810412502,-0.07623196043386653,0.08916138424812617,0.018492367906043326,-0.11120045236704992,0.14646312605420037,-0.14621931559329762,0.3250608754902895,-0.460313089614185,-0.17740084451381585,0.4817522290154601,0.2971682822411031,-0.4248573493115537,0.36197311090845463,-0.40616559000894314,-0.010754738928688858,-0.4602394241274593
Defactinib__0.0016,0.05010479731975882,-0.03679851756241172,-0.017566364435907242,-0.05303660387210415,0.10114312242563464,0.15489270342548986,-0.03894014302275909,0.010667349475554772,-0.029679947236480618,-0.13224776166066185,0.09076200942447218,-0.021140674477059328,-0.09917187237457151,0.2068618713248028,0.01036256321794711,-0.00566670566800074,-0.07538827470782775,0.035673873677788535,-0.2616667791998711,-0.024552151412004734,-0.018710359049871336,0.01793452245981153,-0.17322617584079225,0.03588566118624941,0.10220993185959645
YM155__0.04,0.023167997868648635,-0.024836125452470787,0.0669972212388058,-0.3310641312457902,0.1534152142755586,0.153230528442651,0.2606823398749348,-0.02362862599142436,-0.07665347159215061,-0.08733324261770337,0.08080838300204546,-0.010104649151994313,-0.1454262223128437,0.08388121702325527,-0.07668484994313593,0.4341742694367571,-0.6517761249692502,-0.19198366871274883,0.4729188459624556,0.26621235283019556,-0.4899046933070254,0.2231182537223102,-0.5888407582841734,0.07639377095430297,-0.37381136174418883
Irinotecan mit 5-FU + Gefitinib__0.008,0.05008032776259021,-0.11695956690096257,0.05180601541645413,-0.1160375061836546,0.20962707361666566,0.17404995069445844,0.22703958516070005,-0.09622176599405488,0.05695532345389347,-0.18880498412642796,-0.07994105896492187,0.019342240980361143,-0.17724688868479038,0.29049119133026335,-0.13595368131937774,0.30909468768910464,-0.543822066203218,-0.27437874247722316,0.38266230470691126,0.28854396814174466,-0.500992910984615,0.08752156029393231,-0.3082002684611898,0.07237113973241197,-0.4546756640563352
Volasertib__0.04,-0.022788894605024007,-0.05425954517776473,0.08369707202314558,-0.15941554533825225,0.19018078143582035,0.1100909895495541,0.3120462983195342,-0.03838516259216006,0.003419377570451327,-0.08857189302168124,-0.10710261420873383,0.010981658561523298,-0.09065545507601888,0.19455483170756824,0.0319188048835155,0.2351297567407876,-0.5126920272628601,-0.25548273867315474,0.5591503410176489,0.17223263875024405,-0.45941009238716735,0.08665091132016142,-0.3789835122337538,0.1125920981143937,-0.5493986169999532
Gemcitabine__0.04,-0.008065352195333074,-0.04263645265601966,0.12483619825721215,-0.16775574706854204,0.15906111552478486,0.09657115551196917,0.3284713629647701,-0.0727063355228029,0.04806108695127268,-0.06286946558683501,-0.007182993811130212,0.047511964847394304,-0.13012624233111136,0.19034318085122182,0.023646445136764706,0.36896651798194424,-0.4704142526059368,-0.2547618337379941,0.6291568055196637,0.13740633918036582,-0.3894006145761817,0.13686067709902972,-0.2985286988952076,0.14695291089921883,-0.5530634518597856
Bexaroten__0.04,0.029443108714167786,-0.028913652740470842,-0.06730072829125548,-0.00538421017425548,0.12291773025620434,-0.00035856017455307215,0.005406952011056504,0.08699621009605431,-0.012910756663947257,-0.05608049248032967,0.02560891704434291,0.019409124070880617,-0.13331165469799672,0.20596229622551165,0.0454452966835851,0.039439843375032826,-0.15609759446645335,-0.11922702213571006,0.08963400461102583,0.07578655379146025,-0.2627897131795423,0.12647140897040132,-0.25843143354964926,0.12121590306473266,-0.16531587848863954
Dasatinib__0.008,0.10103331374086606,-0.06639811299211651,0.03157757146042584,-0.04360776979763627,0.12614942776708554,0.05635959279396015,-0.06695234178548495,-0.024167085350353938,0.027758767614364084,-0.130551307529669,0.16635062900909559,0.0021467448088236963,-0.29226830730386466,0.2154650182028321,-0.09172386315033199,0.06051918641745039,-0.21761422008168124,-0.15803370011859502,-0.07088918978825996,-0.20129831447796867,-0.09157132374631125,-0.15736863152987451,-0.11712572582959513,0.1606644063568607,0.007037548892399571
Staurosporine_500nM,0.016201169539888805,-0.1639794191067643,0.2076146554006272,-0.26277309678808336,0.19614094442332297,0.1392729546307229,0.35198902807431487,-0.18069291419814743,0.0999769520098007,-0.14506080251798745,0.10317263522542638,0.009923554022434404,0.0184012959556462,0.4169887711936747,-0.28226493181313217,0.5581963122480319,-0.8102436085856748,-0.14270922435442346,0.866314831628082,0.27277708283719193,-0.7745023618501067,0.39427706025418857,-0.4861166694326129,0.11957048434914175,-0.7588194576580533
Palbociclib__0.0016,-0.025534881140471692,-0.003813296930289062,-0.07511761347221024,0.004161904653158027,0.08436011172604654,-0.027409012399706927,-0.06641246786962858,0.013141690976098389,0.03656511072472398,-0.017748270611085568,-0.03923541388421764,0.005818085648480692,0.019664600759304745,0.12435412277476113,0.01673963518288133,-0.15186841245385713,-0.025532313680589513,0.031409493076379094,-0.023331406436616135,0.012510819685370853,-0.2212885069904425,0.10554852356561129,-0.2444527627007736,0.10624449228124319,0.08554642636365396
Vinblastin__0.0016,0.014215056095264703,-0.028275550550393817,-0.05633768162064694,-0.03377423922527675,0.11654042697646813,0.00780929784595671,0.03336601315626548,0.05858369295710255,-0.005751515181463261,-0.04304737521170816,0.024574105896217113,-0.0012055052615555565,-0.10490780931390375,0.21459786973075407,0.0013524983628424806,0.08193074504093688,-0.0509693953970211,-0.15887812945386548,0.07487381027116467,0.08634004195355043,-0.20685954125078906,-0.006399331997233686,-0.13637403934475115,0.18705158985729908,-0.1725941204912307
Vinblastin__0.2,-0.0025425034827928124,-0.04138969313535766,0.1198529379550716,-0.1741286591757219,0.17004533206790587,0.11009787584938631,0.26814968158056834,-0.06458222243472318,0.05270626681845368,-0.09791434546407655,0.01882983405151053,0.0016138630843414996,0.0006286095689193554,0.21151607834679137,-0.0626054429613531,0.3208734240826592,-0.536170764425545,-0.14718108978712846,0.6292874493066206,0.21526158380847543,-0.5864660025648268,0.27602846965189587,-0.4448417801510126,0.17157927089275887,-0.5147579713146582
Irinotecan mit 5-FU__0.0016,0.007090456811861895,-0.005018674403318246,0.1421006729634376,-0.2270356592479644,0.0771003240763406,0.14167332031223928,0.2325890731409944,-0.07610413735827702,-0.015688401875206096,-0.13588210292039973,-0.07079987702046694,0.00514924645545896,-0.1417112265201934,0.32596954302262415,-0.11603583215325938,0.31069793111851757,-0.5467193432968218,-0.20498113590155614,0.501869853810673,0.224389917569203,-0.5195270665366382,0.24123636300085544,-0.5287224756367019,0.14901140666477788,-0.21685822832401538
